e5,e50,e24,e33,e96,e98,e15,e91,e34,e64,e46,e1,e72,e92,e97,e49,e38,e26,e68,e94,e40,e18,e8,e10,e62,e87,e73,e81,e77,e48,e19,e65,e55,e25,e11,e60,e100,e99,e51,e82,e95,e35,e39,e83,e70,e84,e90,e58,e21,e2,e78,e89,e22,e86,e14,e42,e75,e13,e7,e20,e43,e29,e69,e17,e54,e67,e30,e37,e88,e76,e41,e74,e36,e31,e12,e80,e16,e3,e28,e59,e93,e4,e45,e52,e53,e63,e71,e44,e66,e79,e47,e56,e9,e85,e57,e6,e61,e27,e32,e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e21,e28,e38,e82,e57,e94,e76,e77,e54,e31,e25,e16,e83,e37,e78,e86,e63,e12,e89,e95,e29,e88,e72,e30,e43,e36,e65,e1,e35,e34,e99,e58,e24,e19,e39,e52,e61,e55,e10,e3,e56,e7,e22,e71,e81,e23,e50,e11,e20,e97,e74,e59,e40,e80,e2,e9,e27,e49,e14,e62,e67,e53,e75,e45,e93,e91,e32,e13,e48,e15,e46,e18,e44,e64,e87,e68,e100,e17,e8,e79,e90,e60,e85,e73,e84,e6,e41,e51,e4,e33,e66,e96,e42,e69,e92,e70,e47,e5,-1,e98,e26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e64,e88,e75,e78,e91,e16,e12,e6,e41,e68,e65,e81,e19,e7,e2,e96,e85,e55,e98,e33,e76,e50,e90,e5,e39,e30,e59,e28,e93,e82,e89,e14,e21,e22,e49,e99,e58,e46,e56,e44,e73,e66,e11,e80,e63,e27,e43,e74,e52,e84,e48,e71,e24,e42,e36,e54,e100,e34,e35,e69,e20,e3,e40,e62,e13,e47,e37,e45,e57,e17,e61,e29,e72,e87,e18,e92,e23,e32,e95,e15,e70,e1,e97,e25,e77,e26,e53,e8,e51,e94,e79,e86,e83,e9,e4,e10,e67,e38,e31,e60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e81,e79,e62,e84,e21,e76,e74,e49,e65,e55,e31,e14,e22,e100,e61,e37,e39,e91,e53,e42,e93,e54,e58,e82,e90,e25,e68,e32,e83,e46,e59,e10,e30,e33,e3,e15,e45,e19,e13,e56,e69,e17,e80,e40,e97,e60,e67,e18,e98,e16,e12,e20,e26,e41,e9,e99,e78,e48,e77,e52,e57,e87,e2,e89,e11,e94,e95,e86,e27,e38,e5,e50,e7,e51,e75,e44,e1,e64,e88,e66,e85,e6,e72,e28,e71,e43,e8,e73,e35,e4,e29,-1,-1,-1,e96,e92,e63,e34,e36,e47,e23,e70,e24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e69,e59,e31,e90,e81,e30,e84,e52,e74,e20,e53,e39,e100,e11,e23,e27,e7,e67,e47,e76,e55,e65,e14,e25,e37,e61,e49,e79,e58,e97,e62,e6,e5,e34,e35,-1,-1,e12,e92,-1,-1,e96,e8,-1,e18,e22,e54,e17,e95,-1,e19,e83,e51,e70,e66,e86,e82,-1,-1,e78,e75,e28,e60,e21,e99,-1,e16,e4,-1,e89,-1,e42,e88,e2,-1,-1,-1,-1,-1,-1,-1,-1,-1,e85,e91,-1,e32,e29,-1,e10,e3,e41,e33,e87,e72,e63,e46,e36,e9,e57,e24,e45,e93,e38,e1,e98,e48,e73,e26,e50,e43,e80,e71,e56,e15,e44,e40,e94,e13,e77,e68,e64,,,,,,,,,,,,,,,,,,,
e25,e22,e18,e39,-1,-1,-1,e75,-1,e56,e68,-1,-1,e57,e94,e72,e9,e40,-1,-1,e50,e3,e87,e38,e100,e67,e20,e89,-1,e4,-1,-1,-1,e24,-1,e64,-1,e10,e37,-1,e8,e91,e85,e77,e71,e29,e33,e62,e46,e7,e79,e23,e73,e66,e54,e28,e55,e44,e69,e81,e60,e47,e36,e14,e35,e83,e88,e11,e96,e51,e76,e30,e27,e21,e2,e61,e41,e16,e98,e53,e86,e42,e65,e1,e74,e84,e34,e70,e63,e19,e49,e52,e59,e26,e93,e43,e97,e48,e12,e95,e80,e32,e99,e15,e13,e45,e5,e92,e78,e90,e6,e17,e31,e58,e82,,,,,,,,,,,,,,,,,,,,,,,,,,
e66,e30,e55,e31,e19,e69,e53,e99,e86,e2,e16,e95,e52,e34,e17,e65,e8,e6,e60,-1,e27,-1,-1,e78,-1,e88,e48,-1,e1,-1,-1,-1,-1,-1,e68,-1,e91,-1,-1,e21,-1,-1,e64,e18,e12,e3,e51,e82,e7,e40,e56,e4,e42,e50,e79,e47,e97,e100,e90,e98,e29,e14,e11,e83,e39,e84,e9,e81,e26,e93,e63,e89,e87,e73,e22,e72,e59,e80,e70,e36,e77,e71,e46,e67,e43,e54,e57,e37,e23,e38,e45,e13,e75,e61,e24,e96,e25,e58,e10,e92,e41,e35,e15,e20,e94,e32,e49,e74,e76,e85,e5,e62,e28,e33,e44,,,,,,,,,,,,,,,,,,,,,,,,,,
e99,-1,e22,-1,-1,-1,-1,-1,-1,-1,-1,-1,e2,e60,e19,e11,e86,e43,-1,-1,-1,e95,-1,e16,e4,e8,-1,-1,-1,e93,e13,e45,e18,e66,-1,e62,e28,e32,e67,e31,e51,e44,e7,e81,e6,e59,e79,e87,e94,e74,e21,e92,e78,e57,e89,e65,e35,e38,e42,e26,e30,e54,e88,e73,e72,e48,e27,e24,e36,e56,e29,e46,e50,e41,e39,e23,e71,e12,e14,e20,e3,e97,e49,e40,e58,e96,e25,e75,e69,e52,e82,e1,e37,e10,e80,e68,e98,e64,e70,e85,e83,e100,e17,e90,e9,e34,e77,e55,e63,e84,e33,e15,e5,e61,e53,e47,e76,e91,,,,,,,,,,,,,,,,,,,,,,,
e55,e90,e14,e17,e89,e53,e83,e79,e69,e88,e78,e23,e65,e6,e100,e54,e67,e59,e76,e7,e25,e9,e39,e61,e80,e37,e8,e72,e57,e20,e18,e74,-1,-1,e1,-1,-1,-1,-1,e28,-1,-1,-1,e87,e51,-1,e19,e60,e82,e75,e47,e31,e94,e99,e42,e16,e95,e22,e86,e66,e24,e84,e33,e38,e10,e2,e4,e21,e85,e63,e30,e26,e32,e81,e52,e45,e35,e77,e71,e11,e41,e70,e91,e98,e27,e92,e48,e36,e44,e13,e64,e15,e93,e58,e68,e97,e12,e40,e50,e56,e3,e46,e96,e34,e49,e73,e62,e5,e29,e43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e51,-1,-1,e37,-1,e62,e26,e18,e42,e21,e4,e67,e96,e5,e75,e70,e77,e47,e35,e84,e82,e63,e41,e71,e13,e94,e85,e73,e9,e43,e33,e8,e38,e98,e87,e29,e17,e36,e81,e10,e24,e92,e28,e66,e53,-1,e57,e72,-1,e15,e91,e25,e54,e83,e88,-1,e34,e3,e27,e1,e89,e39,e52,e31,e50,e99,e93,e46,e56,e97,e79,e80,e64,e95,e100,e11,e90,e68,e6,e19,e40,e76,e74,e60,e61,e14,e22,e2,e30,e16,e44,e48,e69,e65,e45,e78,e49,e86,e55,e12,e58,e20,e32,e7,e59,e23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e20,-1,e35,-1,e76,e14,e51,e43,e99,e58,e54,e30,e34,e59,e24,e74,e12,e90,e78,e88,e89,e32,e46,e83,e31,e66,e11,e44,e36,e62,e15,e17,e61,e27,e52,e49,e8,e45,e7,-1,e81,e79,e19,e6,e16,e93,-1,-1,e60,e100,e69,e55,-1,e13,-1,e95,e86,-1,-1,e65,e18,-1,-1,e5,e2,-1,e23,e56,-1,e50,e53,e3,e82,e25,e80,e84,e28,e47,e97,e4,e91,e68,e42,e92,e10,e75,e87,e94,e72,e57,e41,e70,e98,e64,e9,e1,e38,e26,e71,e40,e37,e77,e21,e96,e22,e48,e73,e85,e33,e67,e63,e39,e29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e98,e15,e1,e5,e9,e96,e63,e32,e93,e71,e38,e62,e26,e39,e18,e47,e82,e34,e94,e87,e73,e77,e23,e85,e50,e40,e56,e27,e21,e58,e80,e70,e97,e75,e65,e6,e68,e41,e29,e69,e31,e53,e92,e43,e42,e11,e30,e81,e3,e28,e52,e19,e35,e91,e4,e44,e8,e72,e45,e48,e95,e49,e12,e64,e55,e10,e17,e20,e16,e67,e51,e2,e78,e57,e33,e22,e54,e60,e13,e83,e25,-1,e99,-1,e89,e37,e24,e66,e88,e36,-1,-1,e46,e90,-1,e59,e79,e100,e76,-1,e7,e14,e74,e86,e61,e84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e36,e91,e79,e48,e59,e24,e13,e67,e100,e46,e61,-1,e37,e84,-1,-1,e73,e29,e63,-1,-1,e58,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e43,-1,-1,e7,e74,-1,-1,-1,-1,-1,e5,-1,-1,-1,-1,-1,e4,e33,-1,-1,e47,e90,e71,e87,e9,e26,e76,e77,e93,e10,e86,e41,e92,e70,e57,e22,e14,e44,e64,e45,e1,e32,e98,e38,e96,e49,e15,e34,e72,e50,e23,e94,e6,e3,e12,e85,e68,e62,e53,e40,e80,e97,e11,e60,e89,e30,e83,e55,e35,e88,e95,e82,e51,e75,e19,e78,e2,e99,e20,e52,e81,e69,e27,e54,e16,e66,e17,e65,e21,e25,e56,e39,e18,e28,e31,e8,e42,,,,,,,,,,,,
e34,e80,e86,e64,e88,e83,e66,e40,e19,e62,e2,e18,e50,e58,e95,e14,e16,e60,e23,e8,e49,e79,e12,e84,e51,e22,e97,e75,e7,e6,e3,e35,e68,e61,e78,e31,e4,e53,e17,e65,e67,e69,e9,e25,e43,e54,e99,e85,e24,e77,e89,e57,e87,e45,e63,e94,e13,e32,e11,e38,e48,e70,e27,e91,e30,e73,e44,e36,e1,e37,e42,e39,e98,e28,e76,e71,e33,e96,e46,e72,e100,e26,e10,e29,e59,e93,e15,e56,e52,e74,e92,e21,e41,e82,e47,e81,e5,e55,e90,-1,e20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e83,e82,e84,e54,e52,e28,e86,e42,e62,e89,e75,e21,e78,e99,e26,e69,e53,e74,e61,e27,e35,e7,e60,e55,e16,e19,e13,e85,e14,e25,e39,e44,e90,e92,e76,e98,e24,e2,e71,e37,e18,e65,e67,e5,e34,e41,e95,e29,e63,e17,e88,e49,e68,e8,e73,e4,e81,e12,e56,e80,e38,e9,e64,e87,e36,e23,e48,e94,e72,e43,e96,e97,e3,e47,e58,e40,e10,e33,e1,e22,e66,e57,e30,e79,e46,e32,e59,e31,e6,e70,e50,e20,e77,e91,-1,e51,-1,e15,e100,-1,e45,e93,e11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e28,e42,e21,e51,e82,-1,-1,e11,-1,e4,-1,-1,e24,e14,-1,e68,-1,e5,e72,e93,e47,e45,e6,e29,e73,e50,e71,e36,e55,e57,e96,e53,e7,e74,e40,e1,e38,e92,e76,e34,e59,e30,e63,e35,e17,e65,e3,e39,e81,e79,e22,e58,e25,e75,e56,e69,e84,e23,e94,e33,e85,e66,e87,e80,e88,e26,e70,e89,e91,e41,e48,e98,e10,e15,e9,e77,e99,e46,e62,e32,e54,e61,e12,e64,e83,e78,e49,e13,e97,e18,e31,e90,e100,e60,e44,-1,-1,-1,e19,e20,e43,e2,e16,e8,e95,e37,e86,e27,e52,-1,e67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e19,e86,e2,e16,e95,e67,-1,e37,-1,e74,-1,e76,-1,e49,e57,e9,e94,e56,e91,e47,e12,e34,e18,e3,e38,e35,e66,e90,e64,e17,e72,e80,e23,e48,e54,e79,e36,e60,e1,e11,e100,e42,e97,e82,e88,e83,e21,e89,e14,e99,e27,e84,e75,e78,e28,e81,e51,e5,e43,e50,e44,e20,e45,e52,e77,e93,e92,e85,e29,e32,e87,e15,e26,e7,e46,e73,e63,e10,-1,e68,e62,e8,e24,e41,e70,-1,e96,e40,e98,e25,e4,e31,e71,e33,-1,e58,-1,-1,-1,e13,e65,e53,e55,e59,e69,e61,e39,e6,e22,-1,e30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e60,-1,-1,-1,e4,-1,e95,e26,e22,e43,e10,e70,e77,e62,e58,-1,e33,e41,e96,e79,e98,e59,e61,e81,e86,e85,e5,e13,e67,e63,e29,e19,-1,-1,-1,e20,-1,-1,-1,-1,e37,-1,-1,-1,e68,e16,e49,-1,-1,e91,-1,-1,e12,e40,e48,e46,e64,e2,-1,e92,-1,e97,-1,-1,-1,e71,-1,e73,-1,-1,e47,-1,e24,e50,-1,e34,-1,-1,e9,e87,e38,e32,e57,e56,e36,e80,e3,e23,e15,e1,e25,e6,e45,e78,e53,e90,e83,e11,e93,e82,e89,e75,e100,e55,e88,e35,e51,e30,e99,e14,e52,e44,e69,e27,e54,e65,e17,e76,e66,e21,e7,e84,e39,e18,e94,e74,e72,e28,e8,e31,e42,,,,,,,,,,
e65,e92,e16,e52,e2,e6,e69,e55,e53,e9,e87,e19,e94,e47,e72,e73,e100,e38,e57,e71,-1,-1,e1,e43,-1,-1,-1,-1,-1,-1,-1,e84,-1,-1,-1,-1,-1,-1,e20,-1,-1,-1,-1,-1,-1,e31,e7,e61,e25,e86,e32,e45,e95,e15,e24,e29,e39,e93,e74,e59,e35,e63,e14,e76,e5,e13,e80,e30,e90,e36,e23,e44,e48,e34,e85,-1,-1,e91,-1,-1,-1,-1,e33,e4,e50,e41,-1,-1,e26,e64,e96,e27,e78,e12,e28,e40,e56,e97,e66,e11,e82,e99,e89,e37,e8,e49,e22,e70,e60,e77,e58,e68,e51,e62,e98,e88,e21,e42,e83,e18,e81,e10,e17,e79,e54,e67,e3,e46,e75,,,,,,,,,,,,
e11,e27,e100,e67,e25,e60,e37,e17,e39,e70,e99,e98,e8,e18,e31,e10,e96,e71,e48,e28,e21,e30,e54,e45,e26,e83,e15,e33,e82,e75,e32,e85,e42,e51,e91,e89,e72,e78,e46,e77,e41,e6,e88,e69,e20,e4,e1,e93,e5,e55,e66,e13,-1,-1,e49,-1,-1,e58,e65,e3,e56,e50,e53,-1,e44,e12,-1,e64,e68,-1,e97,-1,-1,-1,e92,-1,-1,-1,e40,-1,-1,e34,e73,-1,e63,e29,-1,e52,e24,e81,e80,e87,e47,e23,e90,e57,e94,e14,e62,e59,e19,e43,e84,e61,e76,e74,e95,e22,e7,e2,e35,e38,e16,e79,e9,e36,e86,,,,,,,,,,,,,,,,,,,,,,,,
e32,e44,e45,e13,e11,e52,e100,e22,e15,e77,e85,e50,e23,e12,e34,e40,e4,e63,e29,e3,e56,e68,e80,e73,e70,e24,e36,e64,e97,e9,e93,e41,e94,e47,e10,e87,e49,e26,e57,e5,e98,e38,e27,e33,-1,-1,-1,e96,-1,-1,-1,-1,e20,-1,-1,e91,-1,-1,-1,-1,-1,e46,e48,-1,-1,-1,e8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e62,e31,e51,e6,e78,e82,e99,-1,e83,e53,e90,e81,e54,e79,e92,e88,e2,e75,e18,e1,e74,e39,e55,e43,e65,e84,e21,e69,e89,e14,e58,e19,e16,e42,e71,e67,e17,e66,e61,e37,e72,e25,e59,e30,e35,e60,e95,e76,e86,e7,e28,,,,,,,,,,,
e59,e96,e4,e35,e64,e48,e61,e90,e91,e10,e47,e25,e70,e68,e65,e30,e14,e21,e41,e34,e85,e94,e98,e7,e19,e56,e72,e69,e63,e38,e95,e1,e73,e50,e77,e40,e2,e97,e16,e23,e53,e87,e74,e29,e76,e36,e39,e33,e12,e37,e80,e43,e3,e58,e5,e15,e49,e71,e46,e32,e13,e45,e93,e86,e22,e57,e67,e9,e44,e55,e92,e6,e79,e62,e31,e26,e20,e81,e18,e24,-1,-1,e8,-1,-1,-1,e75,-1,e78,-1,e17,e84,e11,e66,e89,e42,e100,e51,e52,e99,e88,e82,e28,e27,e83,e54,e60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e62,e87,e26,e66,e75,e31,e39,e5,e81,e30,e41,e28,e29,e10,e13,e32,e70,e36,e51,e73,e42,e53,e25,e68,e48,e60,e12,e97,e56,e27,e38,e49,e93,e46,e71,e44,e23,e50,e40,e80,e15,e4,e24,e96,e77,e94,e52,e92,e69,e82,e45,e1,e65,e6,e98,e11,e63,e89,e17,e84,e72,e83,e18,e9,e33,e8,e79,e55,e64,e85,e7,e34,e61,e3,e57,e54,e47,e90,e91,-1,e35,e78,-1,-1,-1,-1,e67,e59,-1,-1,-1,e99,e74,e20,e58,e100,e88,e95,e22,e2,e16,e86,e37,e19,e21,e43,e14,e76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e73,e29,e36,e74,e61,e9,e71,e63,e14,e80,e35,e87,e76,e50,e40,e23,e5,e81,e56,e41,e99,e37,e44,e90,e78,e49,e92,e26,e45,e12,e94,e64,e32,e4,e59,e48,e96,e24,e15,e97,e93,e70,e77,e47,e84,e1,e20,e38,e68,e62,e98,e88,e72,e100,e10,e33,e7,e79,e85,e67,e34,e13,e3,e57,e58,e46,e6,e91,-1,e31,e8,e43,-1,-1,-1,-1,-1,-1,-1,e55,e69,-1,e53,e51,-1,e25,e66,-1,e89,e28,e52,e65,e95,e39,e86,e19,e2,e22,e16,e30,e11,e21,e27,e60,e42,e18,e82,e83,e17,e54,e75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e18,e66,e83,e88,e50,e2,e75,e8,e82,e95,e86,e89,e42,e70,e28,e78,e97,e11,e16,e9,e68,e40,e45,e23,e47,e29,e100,e96,e87,e71,e46,e26,e72,e99,e80,e57,e56,e44,e27,e38,e10,e36,e54,e92,e1,e63,e41,e21,e64,e3,e85,e34,e48,e60,e12,e52,e19,e91,e33,e22,e94,e98,e17,e24,e51,e5,e15,e6,e93,e4,e31,e32,e73,e49,e13,e67,e77,-1,e90,e81,e79,e7,e35,-1,-1,e61,e62,e55,e25,e59,e58,e37,e65,e76,e69,e84,e43,e20,e39,e14,e74,e30,e53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e78,e83,e23,e27,e42,e86,e17,e82,e11,e29,e95,e63,e99,e77,e21,e55,e24,e33,e85,e19,e71,e36,e51,e62,e98,e54,e10,e70,e88,e81,e64,e60,e22,e80,e2,e66,e26,e96,e53,e75,e28,e18,e65,e89,e67,e79,e100,e16,e8,e35,e61,e5,e91,e7,e31,e73,e25,e43,e84,e74,e52,e6,e4,e90,e59,e34,e41,e69,e58,-1,-1,e76,e45,e48,e14,e37,e32,e39,e50,e57,e20,e94,e38,e12,e3,e46,e44,e87,e56,e93,e72,e97,e1,e30,e40,e15,e13,e9,e47,e49,e68,-1,e92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,e47,e77,e19,e48,e33,e94,e46,e70,e85,e72,e27,e1,e44,e98,e57,e34,e14,e49,e15,e63,e12,e5,e39,e23,e52,e45,e87,e25,e86,e36,e11,e40,e93,e73,e13,e3,e56,e26,e96,e97,e41,e4,e2,e38,e9,e24,e71,e92,e95,e18,e100,e16,e32,e62,e8,e10,e50,e60,e17,e82,e79,e28,e54,e84,e7,e53,e35,e78,e20,e68,e66,e83,e75,e90,e59,e42,e89,e67,e74,e65,e99,e22,e76,e88,e64,e21,e58,e80,e43,e37,e30,e31,e55,e81,e29,e69,e61,e6,e51,-1,-1,-1,e91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,e48,e49,e50,e45,e21,e40,e15,e87,e61,e64,e31,e32,e91,e37,e92,e76,e97,e43,e59,e20,e74,e56,e47,e44,e7,e3,e80,e90,e30,e57,e72,e13,e12,e46,e38,e67,e94,e100,e93,e1,e9,e58,e68,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e5,-1,-1,-1,e8,-1,e6,e18,-1,-1,-1,-1,e62,e85,e33,e86,e69,e29,e34,e24,e84,e73,e28,e17,e75,e83,e65,e27,e52,e89,e54,e95,e11,e19,e70,e42,e98,e22,e10,e39,e82,e78,e71,e81,e25,e2,e55,e53,e63,e35,e96,e26,e16,e51,e79,e99,e14,e41,e77,e88,e60,e4,e23,e36,e66,,,,,,,,,,,,,,,,,,
-1,-1,e17,e75,e14,e65,e6,e7,e67,e49,e74,e55,e15,e88,e39,e61,e84,e46,e83,e56,e96,e66,e68,e33,e85,e90,e30,e41,e5,e54,e35,e98,e28,e78,e94,e80,e12,e87,e77,e99,e26,e48,e59,e11,e44,e45,e71,e22,e70,e76,e53,e40,e36,e19,e57,e82,e37,e64,e3,e23,e27,e38,e62,e34,e47,e72,e60,e52,e13,e92,e91,e1,e58,e29,e24,e25,e31,e95,e73,e16,e97,e2,e43,e21,e18,e51,e86,e50,e20,e8,e93,e100,e81,e89,e79,e4,e9,e10,e42,e63,e32,e69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e47,e26,e85,-1,e33,e41,e70,e4,e5,e98,e76,e7,e14,e96,e77,e35,e59,e94,e10,e30,e24,e13,e57,e72,e68,e6,e38,e53,e79,e29,e63,e12,e46,e81,e51,e32,e60,e25,e91,e83,e42,e75,e95,e36,e55,e86,e89,e78,e19,e20,e2,e73,e27,e22,e40,e50,e93,e88,e28,e44,e39,e48,e71,e16,e3,e97,e43,e54,e80,e1,e11,e37,e62,e23,e67,e99,e69,e21,e66,e92,e58,e15,e64,e45,e87,e82,e17,e9,e34,e61,e100,e74,e56,e18,e84,e65,e8,e52,e49,e31,-1,e90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,-1,-1,-1,e29,e62,e71,e18,-1,e63,e79,e25,e73,e81,e75,-1,-1,e39,-1,e10,e84,-1,e70,-1,-1,e77,e74,-1,e33,e85,e7,e31,e41,e92,e61,e65,e59,e8,e76,e72,e26,e35,e14,e5,e30,e4,e66,e90,e1,e34,e28,e60,e82,e15,e55,e83,e54,e88,e94,e45,e56,e42,e95,e38,e86,e64,e68,e46,e3,e27,e87,e49,e52,e16,e13,e48,e40,e93,e99,e22,e96,e69,e44,e24,e2,e37,e97,e9,e17,e98,e67,e19,e51,e50,e89,e80,e43,e20,e100,e21,e11,e12,e32,e58,e57,e78,e23,e36,e6,e47,e53,e91,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,-1,e50,e24,e23,e3,e8,e66,e28,e99,e42,e54,e69,e55,e36,e83,e65,e88,e80,e53,e51,e89,e82,e34,e72,e9,e17,e78,e47,e5,e1,e56,e96,-1,e6,e18,e94,e4,e87,e57,e7,e62,e38,e31,e61,-1,-1,e59,e75,e29,e68,e85,e74,e12,e84,e39,e91,e45,e32,e43,e63,e30,e77,e97,e76,e44,e73,e10,e41,e58,e13,e70,e35,e46,e40,e49,e25,e20,e92,e26,e98,e14,e90,e93,e48,e71,e79,e15,e19,e11,e21,e64,e16,e100,e95,e86,e27,e2,e67,e37,e60,e22,e33,e81,e52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e100,e16,e68,e45,e20,e40,e27,e95,e43,e15,e60,e46,e48,e93,e44,e13,e2,e86,e64,e97,e19,e21,e11,e32,e49,e12,e58,e52,e91,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e34,-1,e24,-1,-1,-1,-1,e29,-1,e63,-1,e5,e92,e47,e56,e3,e85,e9,e87,e71,e41,e26,e23,e4,e77,e94,e67,e70,e57,e38,e96,e31,e36,e10,e8,e73,e1,e7,e61,e50,e98,e37,e81,e80,e90,e35,e22,e55,e82,e83,e28,e17,e54,e74,e14,e84,e88,e18,e76,e42,e51,e39,e75,e30,e62,e66,e99,e69,e65,e53,e89,e59,e78,e25,e33,e6,e72,e79,,,,,,,,,,,,,,,,,,,,,,
e89,e84,e78,e58,e17,e37,e82,e86,e20,e42,e28,e66,e21,e52,e99,e62,e11,e19,e54,e22,e81,e75,e95,e27,e10,e18,e24,e2,e43,e68,e9,e88,e85,e3,e93,e45,e44,e79,e64,e63,e50,e12,e87,e57,e23,e46,e48,e32,e77,e38,e70,e33,e56,e29,e72,e98,e1,e36,e25,e97,e40,e31,e94,e7,e80,e55,e71,e49,e59,e90,e15,e61,e47,e96,e26,e76,e13,e74,e65,e14,e53,e39,e16,e8,e35,e30,e100,e91,e5,e60,e73,e83,e51,e67,e34,e41,e92,e4,e69,e6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e14,e7,e39,e43,e90,e61,e22,e25,e59,e26,e67,e49,e4,e69,e74,e56,e6,e96,e70,e77,e45,e33,e37,e46,e64,e32,e94,e58,e41,e15,e50,e87,e3,e29,e34,e85,e92,e1,e23,e73,e40,e93,e13,e65,e98,e72,e44,e63,e36,e9,e30,e68,e76,e97,e8,e71,e18,e53,e20,e47,e80,e24,e31,e10,e100,e62,e51,e79,e17,e12,e28,e82,e55,e35,e84,e27,e19,e83,e11,e52,e60,e66,e86,e95,e16,e42,e99,e88,e2,e89,e57,e75,e21,e38,e48,e5,e78,e54,e81,-1,e91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e95,e62,e8,e69,e27,e59,e90,e83,e76,e84,e55,e61,e17,e75,e54,e19,e21,e37,e42,e74,e11,e25,e52,e28,e18,e100,e31,e22,e20,e39,e43,e89,e65,e7,e82,e78,e30,e81,e2,e53,e35,e67,e16,e51,e79,e99,e14,e6,e58,e88,e60,e66,e86,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,e85,e91,-1,e32,-1,e77,e10,e33,e48,e73,e49,e80,e23,e92,e40,e3,e34,e87,e97,e70,e98,e29,e1,e45,e50,e47,e44,e72,e24,e57,e71,e64,e13,e56,e15,e12,e63,e96,e38,e46,e26,e94,e9,e41,e93,e4,e68,e36,,,,,,,,,
